rank,hex_id,lat,lon,resolution,divipola_code,municipality,department,wind_speed,slope,dist_to_grid,dist_to_roads,land_use,protected_area,conflict_risk,wind_speed_norm,slope_norm,dist_to_grid_norm,dist_to_roads_norm,land_use_norm,protected_area_norm,conflict_risk_norm,suitability_score
30,876622055ffffff,10.9399,-74.5508,7,47745,Sitionuevo,Magdalena,7.8300,12.9400,73.1000,65.8000,0.1930,0.4210,0.0000,0.8577,0.4748,0.7076,0.5613,0.2500,0.5790,1.0000,0.5747
31,8766223aeffffff,10.8058,-74.4853,7,47745,Sitionuevo,Magdalena,8.4200,10.6800,78.4000,66.1000,0.2080,0.4190,0.0410,0.9377,0.5666,0.6864,0.5593,0.2694,0.5810,0.9559,0.5744
32,8766223b2ffffff,10.8293,-74.5808,7,47745,Sitionuevo,Magdalena,7.7200,12.6400,69.9000,67.8000,0.1730,0.3150,0.0000,0.8428,0.4870,0.7204,0.5480,0.2241,0.6850,1.0000,0.5734
33,876622226ffffff,10.7616,-74.3918,7,47268,El Ret�N,Magdalena,8.2400,12.1900,81.0000,72.8000,0.1830,0.4890,0.0000,0.9133,0.5053,0.6760,0.5147,0.2370,0.5110,1.0000,0.5720
34,8766222a2ffffff,10.6873,-74.5355,7,47605,Remolino,Magdalena,8.0200,13.9800,60.0000,55.6000,0.1820,0.3030,0.0000,0.8835,0.4326,0.7600,0.6293,0.2358,0.6970,1.0000,0.5719
35,8766223a2ffffff,10.8317,-74.5219,7,47745,Sitionuevo,Magdalena,8.4000,12.7100,68.7000,60.7000,0.1630,0.3830,0.0000,0.9350,0.4842,0.7252,0.5953,0.2111,0.6170,1.0000,0.5718
36,8766222c2ffffff,10.5475,-74.4314,7,47268,El Ret�N,Magdalena,7.8000,13.6300,63.6000,65.9000,0.2000,0.3070,0.0040,0.8537,0.4468,0.7456,0.5607,0.2591,0.6930,0.9957,0.5712
37,8766223b3ffffff,10.8164,-74.5624,7,47745,Sitionuevo,Magdalena,7.9800,12.9200,61.4000,59.0000,0.1740,0.3290,0.0080,0.8780,0.4756,0.7544,0.6067,0.2254,0.6710,0.9914,0.5710
38,876622a90ffffff,10.9856,-74.4293,7,47570,Puebloviejo,Magdalena,8.1500,12.2000,90.8000,78.8000,0.2090,0.5580,0.0000,0.9011,0.5049,0.6368,0.4747,0.2707,0.4420,1.0000,0.5710
39,87662220bffffff,10.6325,-74.3648,7,47268,El Ret�N,Magdalena,7.6800,13.0200,64.8000,75.6000,0.1880,0.4000,0.0000,0.8374,0.4716,0.7408,0.4960,0.2435,0.6000,1.0000,0.5709
40,876622211ffffff,10.6844,-74.4381,7,47268,El Ret�N,Magdalena,8.3900,12.4300,69.4000,67.5000,0.1600,0.3960,0.0000,0.9336,0.4955,0.7224,0.5500,0.2073,0.6040,1.0000,0.5705
41,876622ac3ffffff,10.8767,-74.2443,7,47570,Puebloviejo,Magdalena,8.0500,11.4100,95.3000,95.0000,0.2350,0.8490,0.0000,0.8875,0.5369,0.6188,0.3667,0.3044,0.1510,1.0000,0.5699
42,87662238affffff,10.7363,-74.5114,7,47605,Remolino,Magdalena,8.1700,14.1200,60.5000,62.9000,0.1920,0.3690,0.0000,0.9038,0.4269,0.7580,0.5807,0.2487,0.6310,1.0000,0.5698
43,876622276ffffff,10.6684,-74.3224,7,47268,El Ret�N,Magdalena,7.5500,12.9900,71.7000,74.5000,0.2020,0.4830,0.0000,0.8198,0.4728,0.7132,0.5033,0.2617,0.5170,1.0000,0.5693
44,8766222adffffff,10.6561,-74.4603,7,47268,El Ret�N,Magdalena,7.9300,13.9700,65.0000,59.1000,0.2260,0.3360,0.0180,0.8713,0.4330,0.7400,0.6060,0.2927,0.6640,0.9806,0.5693
45,87662221effffff,10.6638,-74.4400,7,47268,El Ret�N,Magdalena,7.8600,11.7700,71.8000,66.6000,0.1480,0.3500,0.0000,0.8618,0.5223,0.7128,0.5560,0.1917,0.6500,1.0000,0.5685
46,87662205bffffff,10.8652,-74.5383,7,47745,Sitionuevo,Magdalena,7.9800,12.5600,77.0000,67.9000,0.2090,0.3770,0.0230,0.8780,0.4903,0.6920,0.5473,0.2707,0.6230,0.9753,0.5668
47,8766222a4ffffff,10.7156,-74.5133,7,47605,Remolino,Magdalena,7.8800,12.3900,58.9000,56.3000,0.1920,0.3160,0.0380,0.8645,0.4972,0.7644,0.6247,0.2487,0.6840,0.9591,0.5661
48,876622356ffffff,10.7639,-74.3330,7,47268,El Ret�N,Magdalena,8.0400,12.7200,79.6000,83.9000,0.2240,0.5910,0.0060,0.8862,0.4838,0.6816,0.4407,0.2902,0.4090,0.9935,0.5657
49,87662222bffffff,10.6814,-74.3407,7,47268,El Ret�N,Magdalena,7.8500,11.4000,75.7000,76.7000,0.1570,0.5060,0.0000,0.8604,0.5373,0.6972,0.4887,0.2034,0.4940,1.0000,0.5647
50,8766222a5ffffff,10.7027,-74.4950,7,47605,Remolino,Magdalena,7.9100,12.6000,61.2000,66.7000,0.2100,0.3260,0.0400,0.8686,0.4886,0.7552,0.5553,0.2720,0.6740,0.9570,0.5644
51,876622306ffffff,10.8569,-74.4023,7,47570,Puebloviejo,Magdalena,7.9900,13.4500,74.8000,77.5000,0.2090,0.5480,0.0000,0.8794,0.4541,0.7008,0.4833,0.2707,0.4520,1.0000,0.5641
52,876622312ffffff,10.8340,-74.4631,7,47570,Puebloviejo,Magdalena,7.9500,11.3500,73.4000,72.5000,0.1460,0.4710,0.0000,0.8740,0.5394,0.7064,0.5167,0.1891,0.5290,1.0000,0.5641
53,87662205effffff,10.8988,-74.5547,7,47745,Sitionuevo,Magdalena,7.9400,12.2800,71.5000,68.5000,0.2050,0.3320,0.0350,0.8726,0.5016,0.7140,0.5433,0.2655,0.6680,0.9624,0.5638
54,876622022ffffff,11.0663,-74.6365,7,8001,Barranquilla,Atl�Ntico,8.0800,12.8300,81.3000,72.2000,0.1760,0.3240,0.0000,0.8916,0.4793,0.6748,0.5187,0.2280,0.6760,1.0000,0.5638
55,87662235bffffff,10.6837,-74.2819,7,47268,El Ret�N,Magdalena,7.9900,13.3900,79.6000,75.9000,0.2120,0.5410,0.0000,0.8794,0.4566,0.6816,0.4940,0.2746,0.4590,1.0000,0.5636
56,8766222a9ffffff,10.6354,-74.4622,7,47268,El Ret�N,Magdalena,7.7100,12.7000,65.3000,64.1000,0.1790,0.3530,0.0160,0.8415,0.4846,0.7388,0.5727,0.2319,0.6470,0.9828,0.5627
57,8766222e2ffffff,10.5965,-74.4072,7,47268,El Ret�N,Magdalena,7.9300,13.2900,65.9000,66.2000,0.1840,0.3550,0.0080,0.8713,0.4606,0.7364,0.5587,0.2383,0.6450,0.9914,0.5627
58,876622344ffffff,10.7738,-74.2540,7,47980,Zona Bananera,Magdalena,8.0500,12.7600,93.0000,90.3000,0.2420,0.7070,0.0000,0.8875,0.4821,0.6280,0.3980,0.3135,0.2930,1.0000,0.5614
59,876622065ffffff,10.9910,-74.4678,7,47570,Puebloviejo,Magdalena,7.9500,12.9900,87.2000,77.4000,0.2080,0.5100,0.0000,0.8740,0.4728,0.6512,0.4840,0.2694,0.4900,1.0000,0.5614
60,8766222c5ffffff,10.5628,-74.3908,7,47268,El Ret�N,Magdalena,7.8600,13.2200,72.7000,68.4000,0.2080,0.3170,0.0230,0.8618,0.4635,0.7092,0.5440,0.2694,0.6830,0.9753,0.5605
61,876622a84ffffff,11.0085,-74.3686,7,47570,Puebloviejo,Magdalena,8.5100,13.0500,86.4000,86.4000,0.2200,0.6580,0.0000,0.9499,0.4704,0.6544,0.4240,0.2850,0.3420,1.0000,0.5600
62,876622274ffffff,10.6761,-74.3021,7,47268,El Ret�N,Magdalena,8.0100,12.3900,84.1000,79.4000,0.1870,0.5770,0.0000,0.8821,0.4972,0.6636,0.4707,0.2422,0.4230,1.0000,0.5599
63,876622389ffffff,10.7310,-74.4728,7,47268,El Ret�N,Magdalena,7.9200,12.7400,61.9000,64.1000,0.1440,0.3480,0.0000,0.8699,0.4830,0.7524,0.5727,0.1865,0.6520,1.0000,0.5599
64,8766220e0ffffff,10.9300,-74.6299,7,8758,Soledad,Atl�Ntico,7.8300,13.0600,74.1000,64.2000,0.1630,0.3100,0.0000,0.8577,0.4700,0.7036,0.5720,0.2111,0.6900,1.0000,0.5597
65,876622386ffffff,10.8034,-74.5441,7,47745,Sitionuevo,Magdalena,7.8400,12.5300,67.4000,66.1000,0.1610,0.3300,0.0100,0.8591,0.4915,0.7304,0.5593,0.2085,0.6700,0.9892,0.5588
66,876622232ffffff,10.7386,-74.4525,7,47268,El Ret�N,Magdalena,8.0000,12.6200,73.1000,66.1000,0.1810,0.4090,0.0170,0.8808,0.4878,0.7076,0.5593,0.2345,0.5910,0.9817,0.5583
67,87662238effffff,10.7569,-74.5094,7,47745,Sitionuevo,Magdalena,8.0100,13.7900,72.5000,64.9000,0.1800,0.3540,0.0000,0.8821,0.4403,0.7100,0.5673,0.2332,0.6460,1.0000,0.5582
68,8766222e4ffffff,10.6248,-74.3850,7,47268,El Ret�N,Magdalena,8.4000,14.3300,67.3000,66.0000,0.1930,0.4460,0.0000,0.9350,0.4184,0.7308,0.5600,0.2500,0.5540,1.0000,0.5582
69,876622a98ffffff,10.9392,-74.3946,7,47570,Puebloviejo,Magdalena,8.2400,12.5800,96.6000,84.8000,0.2400,0.6140,0.0070,0.9133,0.4894,0.6136,0.4347,0.3109,0.3860,0.9925,0.5579
70,87662214bffffff,11.0115,-74.4659,7,47570,Puebloviejo,Magdalena,8.2100,14.4400,81.1000,81.2000,0.2430,0.4800,0.0000,0.9092,0.4140,0.6756,0.4587,0.3148,0.5200,1.0000,0.5578
71,8766235a3ffffff,10.4926,-74.2606,7,47288,Fundaci�N,Magdalena,7.4900,14.2800,72.7000,80.4000,0.2420,0.3230,0.0060,0.8117,0.4205,0.7092,0.4640,0.3135,0.6770,0.9935,0.5574
72,876622201ffffff,10.6867,-74.3792,7,47268,El Ret�N,Magdalena,7.8000,14.0000,71.7000,73.1000,0.2050,0.4810,0.0000,0.8537,0.4318,0.7132,0.5127,0.2655,0.5190,1.0000,0.5573
73,87662200dffffff,10.9864,-74.5855,7,8758,Soledad,Atl�Ntico,8.2900,12.8900,83.1000,67.0000,0.1770,0.3510,0.0030,0.9201,0.4769,0.6676,0.5533,0.2293,0.6490,0.9968,0.5569
74,87662231affffff,10.7875,-74.4284,7,47268,El Ret�N,Magdalena,8.4500,13.2600,76.6000,79.9000,0.1860,0.4920,0.0000,0.9417,0.4619,0.6936,0.4673,0.2409,0.5080,1.0000,0.5565
75,876622332ffffff,10.8828,-74.4390,7,47570,Puebloviejo,Magdalena,7.9100,12.7200,80.1000,74.0000,0.2060,0.4670,0.0190,0.8686,0.4838,0.6796,0.5067,0.2668,0.5330,0.9796,0.5558
76,87662220cffffff,10.6738,-74.3609,7,47268,El Ret�N,Magdalena,8.3200,13.8200,79.4000,75.7000,0.1990,0.4470,0.0000,0.9241,0.4391,0.6824,0.4953,0.2578,0.5530,1.0000,0.5553
77,876622025ffffff,11.0815,-74.5960,7,8001,Barranquilla,Atl�Ntico,8.2100,13.7100,80.8000,76.5000,0.2310,0.3200,0.0220,0.9092,0.4436,0.6768,0.4900,0.2992,0.6800,0.9763,0.5550
78,876623426ffffff,10.4352,-74.1488,7,47288,Fundaci�N,Magdalena,7.4200,12.8000,88.8000,99.4000,0.2460,0.3490,0.0060,0.8022,0.4805,0.6448,0.3373,0.3187,0.6510,0.9935,0.5541
79,8766222aaffffff,10.6407,-74.5008,7,47551,Pivijay,Magdalena,8.4500,13.9900,62.8000,57.3000,0.1550,0.3020,0.0000,0.9417,0.4322,0.7488,0.6180,0.2008,0.6980,1.0000,0.5540
80,8766222f3ffffff,10.5811,-74.4478,7,47268,El Ret�N,Magdalena,8.2900,14.3000,63.8000,63.1000,0.1690,0.3200,0.0000,0.9201,0.4196,0.7448,0.5793,0.2189,0.6800,1.0000,0.5538
81,876622331ffffff,10.8775,-74.4004,7,47570,Puebloviejo,Magdalena,8.6900,12.8900,82.4000,80.0000,0.2110,0.5990,0.0140,0.9743,0.4769,0.6704,0.4667,0.2733,0.4010,0.9849,0.5534
82,876622380ffffff,10.7905,-74.5258,7,47745,Sitionuevo,Magdalena,7.9300,12.2400,66.3000,60.8000,0.1730,0.3710,0.0330,0.8713,0.5032,0.7348,0.5947,0.2241,0.6290,0.9645,0.5531
83,87662221cffffff,10.6714,-74.4198,7,47268,El Ret�N,Magdalena,7.8400,12.0100,77.4000,69.3000,0.1620,0.4130,0.0110,0.8591,0.5126,0.6904,0.5380,0.2098,0.5870,0.9882,0.5531
84,876622050ffffff,10.9323,-74.5710,7,8758,Soledad,Atl�Ntico,8.4000,12.6300,73.9000,65.2000,0.1640,0.3330,0.0180,0.9350,0.4874,0.7044,0.5653,0.2124,0.6670,0.9806,0.5525
85,876622153ffffff,11.0556,-74.5594,7,8001,Barranquilla,Atl�Ntico,8.0000,13.1100,84.3000,78.2000,0.2380,0.3630,0.0300,0.8808,0.4679,0.6628,0.4787,0.3083,0.6370,0.9677,0.5524
86,876622372ffffff,10.7921,-74.3108,7,47980,Zona Bananera,Magdalena,7.5800,12.4500,92.7000,78.5000,0.2280,0.6950,0.0100,0.8238,0.4947,0.6292,0.4767,0.2953,0.3050,0.9892,0.5516
87,876622a99ffffff,10.9263,-74.3763,7,47570,Puebloviejo,Magdalena,8.1500,13.1400,92.9000,84.4000,0.2330,0.6450,0.0020,0.9011,0.4667,0.6284,0.4373,0.3018,0.3550,0.9978,0.5514
88,876622066ffffff,10.9963,-74.5064,7,47570,Puebloviejo,Magdalena,8.3800,13.4500,97.8000,79.6000,0.2180,0.4620,0.0000,0.9322,0.4541,0.6088,0.4693,0.2824,0.5380,1.0000,0.5512
89,87662230effffff,10.8104,-74.3677,7,47570,Puebloviejo,Magdalena,7.8700,12.9100,78.5000,74.4000,0.2350,0.5990,0.0310,0.8631,0.4761,0.6860,0.5040,0.3044,0.4010,0.9667,0.5507
90,876622adcffffff,10.8691,-74.2646,7,47570,Puebloviejo,Magdalena,8.2400,12.8400,97.5000,88.3000,0.2290,0.8070,0.0000,0.9133,0.4789,0.6100,0.4113,0.2966,0.1930,1.0000,0.5506
91,876622b9effffff,11.0959,-74.3994,7,47570,Puebloviejo,Magdalena,8.1800,12.7200,100.6000,90.4000,0.2230,0.5910,0.0000,0.9051,0.4838,0.5976,0.3973,0.2889,0.4090,1.0000,0.5506
92,8766220e3ffffff,10.9094,-74.6318,7,8758,Soledad,Atl�Ntico,7.8000,11.8700,70.6000,63.9000,0.1520,0.3340,0.0230,0.8537,0.5183,0.7176,0.5740,0.1969,0.6660,0.9753,0.5500
93,87662231dffffff,10.8028,-74.3879,7,47570,Puebloviejo,Magdalena,8.2700,13.6800,83.0000,76.7000,0.1980,0.5760,0.0000,0.9173,0.4448,0.6680,0.4887,0.2565,0.4240,1.0000,0.5486
94,876622075ffffff,10.9887,-74.5266,7,47570,Puebloviejo,Magdalena,8.3300,12.3700,74.1000,75.8000,0.1970,0.4000,0.0380,0.9255,0.4980,0.7036,0.4947,0.2552,0.6000,0.9591,0.5485
95,876622076ffffff,10.9940,-74.5652,7,8758,Soledad,Atl�Ntico,7.9400,12.2700,78.1000,66.5000,0.1680,0.3590,0.0230,0.8726,0.5020,0.6876,0.5567,0.2176,0.6410,0.9753,0.5480
96,876622315ffffff,10.8493,-74.4226,7,47570,Puebloviejo,Magdalena,7.8800,13.2000,80.2000,72.5000,0.2210,0.5480,0.0240,0.8645,0.4643,0.6792,0.5167,0.2863,0.4520,0.9742,0.5477
97,8766223b0ffffff,10.8370,-74.5605,7,47745,Sitionuevo,Magdalena,8.1900,14.4700,74.1000,59.9000,0.1910,0.3080,0.0070,0.9065,0.4127,0.7036,0.6007,0.2474,0.6920,0.9925,0.5477
98,876622325ffffff,10.9004,-74.3397,7,47570,Puebloviejo,Magdalena,8.3400,12.9700,90.0000,86.1000,0.2000,0.6860,0.0000,0.9268,0.4736,0.6400,0.4260,0.2591,0.3140,1.0000,0.5473
99,8766222cbffffff,10.4878,-74.3783,7,47268,El Ret�N,Magdalena,7.7100,13.2500,67.5000,64.5000,0.1440,0.3010,0.0000,0.8415,0.4623,0.7300,0.5700,0.1865,0.6990,1.0000,0.5470
100,876622042ffffff,10.9270,-74.5325,7,47745,Sitionuevo,Magdalena,8.1000,14.3700,76.5000,71.7000,0.1920,0.4010,0.0000,0.8943,0.4168,0.6940,0.5220,0.2487,0.5990,1.0000,0.5469
101,8766223a6ffffff,10.8523,-74.5200,7,47745,Sitionuevo,Magdalena,8.2600,13.8700,79.2000,66.6000,0.1730,0.3870,0.0000,0.9160,0.4371,0.6832,0.5560,0.2241,0.6130,1.0000,0.5463
102,8766222f6ffffff,10.6148,-74.4642,7,47268,El Ret�N,Magdalena,7.6900,12.7600,66.4000,66.8000,0.1330,0.3120,0.0000,0.8388,0.4821,0.7344,0.5547,0.1723,0.6880,1.0000,0.5457
103,876622a82ffffff,10.9803,-74.3907,7,47570,Puebloviejo,Magdalena,8.3900,13.0200,91.8000,83.2000,0.1960,0.6440,0.0000,0.9336,0.4716,0.6328,0.4453,0.2539,0.3560,1.0000,0.5456
104,876622366ffffff,10.8150,-74.2501,7,47980,Zona Bananera,Magdalena,8.0800,12.0700,94.8000,92.1000,0.1930,0.7580,0.0000,0.8916,0.5101,0.6208,0.3860,0.2500,0.2420,1.0000,0.5455
105,876622a89ffffff,10.9285,-74.3175,7,47570,Puebloviejo,Magdalena,8.5300,12.2100,98.4000,88.6000,0.1950,0.7550,0.0000,0.9526,0.5045,0.6064,0.4093,0.2526,0.2450,1.0000,0.5454
106,876622395ffffff,10.7958,-74.5644,7,47745,Sitionuevo,Magdalena,8.0900,12.7000,61.0000,63.5000,0.1210,0.3400,0.0000,0.8930,0.4846,0.7560,0.5767,0.1567,0.6600,1.0000,0.5452
107,8766223b4ffffff,10.8576,-74.5586,7,47745,Sitionuevo,Magdalena,8.2200,13.3400,65.1000,62.9000,0.1560,0.3320,0.0150,0.9106,0.4586,0.7396,0.5807,0.2021,0.6680,0.9839,0.5443
108,876622384ffffff,10.8111,-74.5239,7,47745,Sitionuevo,Magdalena,8.2500,12.1400,70.5000,70.2000,0.1230,0.3910,0.0000,0.9146,0.5073,0.7180,0.5320,0.1593,0.6090,1.0000,0.5443
109,876622158ffffff,11.0298,-74.5227,7,47570,Puebloviejo,Magdalena,8.3800,11.7400,87.7000,74.8000,0.1430,0.3750,0.0010,0.9322,0.5235,0.6492,0.5013,0.1852,0.6250,0.9989,0.5436
110,876622335ffffff,10.8981,-74.3985,7,47570,Puebloviejo,Magdalena,8.0300,14.3300,82.2000,75.9000,0.2110,0.5780,0.0000,0.8848,0.4184,0.6712,0.4940,0.2733,0.4220,1.0000,0.5434
111,8766222c4ffffff,10.5758,-74.4092,7,47268,El Ret�N,Magdalena,7.7900,11.4200,61.9000,66.6000,0.2000,0.3550,0.0680,0.8523,0.5365,0.7524,0.5560,0.2591,0.6450,0.9269,0.5434
112,876622a35ffffff,11.0950,-74.2434,7,47189,Ci�Naga,Magdalena,7.9600,12.2800,110.0000,104.4000,0.2630,0.8500,0.0000,0.8753,0.5016,0.5600,0.3040,0.3407,0.1500,1.0000,0.5433
113,876622374ffffff,10.8203,-74.2886,7,47980,Zona Bananera,Magdalena,8.1800,13.2200,85.3000,87.8000,0.1970,0.7140,0.0000,0.9051,0.4635,0.6588,0.4147,0.2552,0.2860,1.0000,0.5429
114,876622235ffffff,10.7539,-74.4120,7,47268,El Ret�N,Magdalena,7.8400,13.6200,74.2000,72.3000,0.1820,0.4930,0.0030,0.8591,0.4472,0.7032,0.5180,0.2358,0.5070,0.9968,0.5422
115,876622ad2ffffff,10.8874,-74.3214,7,47570,Puebloviejo,Magdalena,8.1100,13.3500,87.0000,84.9000,0.2140,0.7240,0.0020,0.8957,0.4582,0.6520,0.4340,0.2772,0.2760,0.9978,0.5422
116,876622210ffffff,10.6974,-74.4564,7,47268,El Ret�N,Magdalena,8.1700,14.3700,60.9000,67.7000,0.2100,0.3630,0.0320,0.9038,0.4168,0.7564,0.5487,0.2720,0.6370,0.9656,0.5421
117,876622041ffffff,10.9217,-74.4939,7,47570,Puebloviejo,Magdalena,8.0400,11.6600,75.5000,69.4000,0.1570,0.4370,0.0290,0.8862,0.5268,0.6980,0.5373,0.2034,0.5630,0.9688,0.5420
118,87662221bffffff,10.6301,-74.4236,7,47268,El Ret�N,Magdalena,8.1900,13.7700,68.1000,69.9000,0.1810,0.3760,0.0190,0.9065,0.4412,0.7276,0.5340,0.2345,0.6240,0.9796,0.5420
119,876622169ffffff,11.0678,-74.4215,7,47570,Puebloviejo,Magdalena,7.9400,12.0400,98.4000,86.8000,0.1780,0.5480,0.0000,0.8726,0.5114,0.6064,0.4213,0.2306,0.4520,1.0000,0.5417
